,0
vertex_105,0.06252304229066302
vertex_106,0.08094758247307451
vertex_107,0.05302653097314602
vertex_108,0.05579274899498482
vertex_109,0.045510404620473593
vertex_110,0.06332180831207601
vertex_111,0.04422678514163338
vertex_112,0.05259718884897618
vertex_113,0.023694559082949283
vertex_114,0.03990589879248669
vertex_115,0.11947685332779033
vertex_116,0.09415950827656494
vertex_117,0.04290403957033723
vertex_118,0.05514390398287029
vertex_119,0.08449437400255415
vertex_120,0.13612207623649078
vertex_121,0.09029855789887947
vertex_122,0.08124917191547487
vertex_123,0.10609763205661507
vertex_124,0.13802969927585962
vertex_125,0.03928005529314644
vertex_126,0.055819203554390094
vertex_127,0.0780360026667519
vertex_128,0.0694092286793779
vertex_129,0.17524359160370379
vertex_130,0.14623145909539687
vertex_131,0.20375655391330402
vertex_132,0.2431823350061684
vertex_133,0.12694439855687528
vertex_134,0.11978106464940085
vertex_135,0.18379087753324802
vertex_136,0.24976464901148338
vertex_137,0.09139341697911715
vertex_138,0.16836222946096202
vertex_139,0.20554918698296643
vertex_140,0.22988080047729068
vertex_141,0.04509020595853269
vertex_142,0.05453824566698605
vertex_143,0.04199732477817664
vertex_144,0.013809856635473395
vertex_145,0.029766820376945582
vertex_146,0.03456737382306616
vertex_147,0.03567640253712286
vertex_148,0.050059128602365166
vertex_149,0.0691871356664892
vertex_150,0.04101712396210159
vertex_151,0.15762001067399947
vertex_152,0.10822986692827473
vertex_153,0.047044300391303036
vertex_154,0.17314378069210384
vertex_155,0.050152922781499465
vertex_156,0.14988078113890227
vertex_157,0.18179553909450627
vertex_158,0.23958459157478298
vertex_159,0.10165584670989346
vertex_160,0.07526247461851827
vertex_161,0.027246066966715783
vertex_162,0.06251683411639844
vertex_163,0.1389111203910664
vertex_164,0.06631637912954685
vertex_165,0.04574045670103032
vertex_166,0.050610834715488565
vertex_167,0.04855721268915319
vertex_168,0.044752729377738054
vertex_169,0.04799903743651156
vertex_170,0.07007221479661853
vertex_171,0.07261214802310899
vertex_172,0.041745172875689934
vertex_173,0.07980109950617757
vertex_174,0.037154047270464466
vertex_175,0.08761341522268118
vertex_176,0.0652402878780151
vertex_177,0.11433175309360352
vertex_178,0.09755336878669219
vertex_179,0.062179273582490195
vertex_180,0.04507957552971026
