rank,roi,name,network,n_vertices,mean_abs_diff,mean_signed_diff,mean_act_bumbo,mean_act_tarol
109,50,7Networks_LH_SalVentAttn_FrOperIns_4,SalVentAttn,85,0.014652344398200512,0.010177801363170147,0.019731711596250534,0.009553911164402962
110,146,7Networks_RH_DorsAttn_FEF_2,DorsAttn,90,0.014544427394866943,0.012171344831585884,0.0073234159499406815,-0.004847928415983915
111,193,7Networks_RH_Default_PFCdPFCm_3,Default,37,0.014425341971218586,0.013180103152990341,-0.07707273960113525,-0.0902528390288353
112,63,7Networks_LH_Cont_Par_3,Cont,74,0.014418505132198334,0.011357969604432583,0.006000252906233072,-0.005357715766876936
113,113,7Networks_RH_Vis_13,Vis,56,0.014417626895010471,0.0020257693249732256,-0.013708734884858131,-0.01573450304567814
114,175,7Networks_RH_Cont_PFCl_6,Cont,66,0.014395399950444698,0.00945204310119152,-0.018141955137252808,-0.027594001963734627
115,70,7Networks_LH_Cont_PFCl_5,Cont,96,0.014395137317478657,0.01138371229171753,-0.15103651583194733,-0.16242024302482605
116,127,7Networks_RH_SomMot_12,SomMot,68,0.014365062117576599,0.010840839706361294,0.0020633290987461805,-0.008777513168752193
117,27,7Networks_LH_SomMot_13,SomMot,90,0.014361252076923847,0.011225936003029346,0.014692733064293861,0.003466798458248377
118,178,7Networks_RH_Cont_Cing_1,Cont,81,0.014287274330854416,-0.003999634180217981,-0.03224501758813858,-0.028245383873581886
119,121,7Networks_RH_SomMot_6,SomMot,72,0.014220201410353184,-0.0052980948239564896,-0.002425198443233967,0.002872896147891879
120,125,7Networks_RH_SomMot_10,SomMot,51,0.014081786386668682,0.009949770756065845,0.02663291245698929,0.016683142632246017
121,151,7Networks_RH_SalVentAttn_PrC_1,SalVentAttn,61,0.014067418873310089,0.010209482163190842,0.032479025423526764,0.02226954884827137
122,87,7Networks_LH_Default_PFC_5,Default,106,0.013994122855365276,0.012926070019602776,-0.09866874665021896,-0.11159481853246689
123,45,7Networks_LH_SalVentAttn_ParOper_2,SalVentAttn,125,0.013974558562040329,0.011621586047112942,0.04943101108074188,0.037809424102306366
124,71,7Networks_LH_Cont_pCun_1,Cont,93,0.013931360095739365,0.0042913625948131084,-0.012763762846589088,-0.017055122181773186
125,187,7Networks_RH_Default_Temp_3,Default,88,0.013772040605545044,0.011945217847824097,-0.35666218400001526,-0.36860740184783936
126,160,7Networks_RH_Limbic_OFC_2,Limbic,95,0.013702226802706718,0.010481545701622963,-0.05707551911473274,-0.06755706667900085
127,67,7Networks_LH_Cont_PFCl_2,Cont,88,0.013662481680512428,0.009812960401177406,-0.03367699310183525,-0.043489955365657806
128,44,7Networks_LH_SalVentAttn_ParOper_1,SalVentAttn,103,0.01361700240522623,0.010626344010233879,-0.02693278342485428,-0.03755912557244301
129,61,7Networks_LH_Cont_Par_1,Cont,88,0.01358274556696415,0.011237326078116894,0.0015932447277009487,-0.009644079953432083
130,188,7Networks_RH_Default_Temp_4,Default,39,0.013581997714936733,0.010380257852375507,-0.17166341841220856,-0.1820436716079712
131,76,7Networks_LH_Default_Temp_3,Default,100,0.013569723814725876,0.010628540068864822,-0.31896844506263733,-0.32959702610969543
132,117,7Networks_RH_SomMot_2,SomMot,70,0.013554589822888374,0.0021621622145175934,-0.09089360386133194,-0.09305576235055923
133,26,7Networks_LH_SomMot_12,SomMot,130,0.013530257157981396,0.007022830191999674,0.028332527726888657,0.02130969427525997
134,60,7Networks_LH_Limbic_TempPole_4,Limbic,45,0.013425512239336967,0.010873770341277122,-0.08483587205410004,-0.09570964425802231
135,15,7Networks_LH_SomMot_1,SomMot,72,0.013410834595561028,0.00474154157564044,-0.11948336660861969,-0.12422490119934082
136,104,7Networks_RH_Vis_4,Vis,77,0.013355267234146595,0.003291870467364788,-0.053575485944747925,-0.056867364794015884
137,73,7Networks_LH_Cont_Cing_2,Cont,53,0.01323503814637661,0.007061731535941362,-0.09111065417528152,-0.0981723889708519
138,10,7Networks_LH_Vis_10,Vis,174,0.013079152442514896,0.006912869866937399,0.016921235248446465,0.010008363984525204
139,86,7Networks_LH_Default_PFC_4,Default,115,0.013069353066384792,0.011428123340010643,-0.052052903920412064,-0.06348103284835815
140,57,7Networks_LH_Limbic_TempPole_1,Limbic,114,0.013042532838881016,0.010975432582199574,-0.09403324872255325,-0.10500869154930115
141,133,7Networks_RH_SomMot_18,SomMot,104,0.01298768725246191,0.011177878826856613,-0.007882057689130306,-0.019059939309954643
142,119,7Networks_RH_SomMot_4,SomMot,90,0.012965568341314793,0.004624863155186176,0.024266209453344345,0.019641347229480743
143,197,7Networks_RH_Default_PFCdPFCm_7,Default,37,0.012941716238856316,0.010546120814979076,-0.14861607551574707,-0.15916219353675842
144,155,7Networks_RH_SalVentAttn_FrOperIns_4,SalVentAttn,117,0.012777579948306084,-0.004385596606880426,0.03355912119150162,0.037944719195365906
145,165,7Networks_RH_Cont_Par_1,Cont,75,0.012740246951580048,0.010839622467756271,0.04650423303246498,0.03566461056470871
146,59,7Networks_LH_Limbic_TempPole_3,Limbic,68,0.012722678482532501,0.008981771767139435,-0.10007457435131073,-0.10905634611845016
147,192,7Networks_RH_Default_PFCdPFCm_2,Default,65,0.012705698609352112,0.010757352225482464,-0.04088662564754486,-0.0516439825296402
148,152,7Networks_RH_SalVentAttn_FrOperIns_1,SalVentAttn,60,0.012645860202610493,0.0055311499163508415,0.021347355097532272,0.015816209837794304
149,58,7Networks_LH_Limbic_TempPole_2,Limbic,133,0.012560898438096046,0.011374114081263542,-0.10835155099630356,-0.11972566694021225
150,162,7Networks_RH_Limbic_TempPole_1,Limbic,85,0.012444017454981804,0.010376323014497757,-0.10881496965885162,-0.11919130384922028
151,62,7Networks_LH_Cont_Par_2,Cont,56,0.012399433180689812,0.008571538142859936,-0.01319276075810194,-0.021764298900961876
