rank,roi,name,network,n_vertices,mean_abs_diff,mean_signed_diff_bumbo_minus_tarol
109,152,7Networks_RH_SalVentAttn_FrOperIns_1,SalVentAttn,60,0.01621429994702339,0.002967228414490819
110,86,7Networks_LH_Default_PFC_4,Default,115,0.016205336898565292,0.0032659396529197693
111,8,7Networks_LH_Vis_8,Vis,138,0.016122765839099884,0.001166141009889543
112,98,7Networks_LH_Default_pCunPCC_3,Default,72,0.016008269041776657,-0.004532334860414267
113,65,7Networks_LH_Cont_OFC_1,Cont,91,0.015938647091388702,-0.0037221817765384912
114,23,7Networks_LH_SomMot_9,SomMot,125,0.015932342037558556,0.01062797661870718
115,26,7Networks_LH_SomMot_12,SomMot,130,0.01591355726122856,0.004792547319084406
116,67,7Networks_LH_Cont_PFCl_2,Cont,88,0.01590193435549736,0.0015297959325835109
117,165,7Networks_RH_Cont_Par_1,Cont,75,0.01572238653898239,0.009183821268379688
118,137,7Networks_RH_DorsAttn_Post_3,DorsAttn,74,0.015716886147856712,0.009062262251973152
119,173,7Networks_RH_Cont_PFCl_4,Cont,116,0.015682125464081764,0.006329123396426439
120,143,7Networks_RH_DorsAttn_Post_9,DorsAttn,156,0.015594164840877056,-1.2041857189615257e-05
121,41,7Networks_LH_DorsAttn_FEF_1,DorsAttn,114,0.015537097118794918,0.0037748669274151325
122,160,7Networks_RH_Limbic_OFC_2,Limbic,95,0.015512599609792233,0.005252175498753786
123,52,7Networks_LH_SalVentAttn_Med_1,SalVentAttn,126,0.01546455454081297,0.011584662832319736
124,175,7Networks_RH_Cont_PFCl_6,Cont,66,0.015461502596735954,0.0036744100507348776
125,54,7Networks_LH_SalVentAttn_Med_3,SalVentAttn,88,0.015407347120344639,0.007351371459662914
126,172,7Networks_RH_Cont_PFCl_3,Cont,103,0.01540618296712637,-0.002303222194314003
127,64,7Networks_LH_Cont_Temp_1,Cont,94,0.015337806195020676,0.006613199599087238
128,37,7Networks_LH_DorsAttn_Post_7,DorsAttn,106,0.015324359759688377,-0.003282170509919524
129,51,7Networks_LH_SalVentAttn_PFCl_1,SalVentAttn,137,0.015296711586415768,0.009631757624447346
130,156,7Networks_RH_SalVentAttn_Med_1,SalVentAttn,139,0.015284673310816288,0.00862613134086132
