vertex_index,hemisphere,x_mm,y_mm,z_mm
229,L,-22.5210,-40.9560,55.2337
230,L,-43.8857,-31.2612,58.5856
231,L,-36.2574,-36.5599,53.8891
232,L,-37.9444,-33.6405,46.3706
233,L,-33.2393,-36.4514,37.3390
234,L,-9.2455,-9.6837,64.9473
235,L,-6.9891,-19.4805,62.2745
236,L,-5.9505,-18.0648,70.0448
237,L,-14.7971,-34.9983,66.0792
238,L,-7.4093,-39.0133,71.0102
239,L,-15.1836,-38.0167,73.7745
240,L,-17.8608,-47.9017,69.1819
241,L,-20.7625,22.9051,38.9805
242,L,-24.3423,12.9494,44.8781
243,L,-19.2703,-5.7840,64.7828
244,L,-19.9195,7.4331,64.2483
245,L,-13.6226,-0.2831,68.7711
246,L,-7.0517,0.1994,65.9640
247,L,-12.3848,43.3645,-3.1046
248,L,-6.4857,39.8483,0.6213
249,L,-11.4765,44.3836,5.0583
250,L,-6.9346,43.8978,37.9097
251,L,-6.8324,37.8271,28.4750
252,L,-7.5524,29.4103,39.5233
253,L,-10.1205,17.8506,41.7878
254,L,-7.8938,22.6079,49.8090
255,L,-43.3924,43.1706,-13.2081
256,L,-34.4720,37.7581,-8.7838
257,L,-32.4232,50.2187,-11.2421
258,L,-7.2275,64.7888,-3.9208
259,L,-6.2457,59.7389,-17.4011
260,L,-6.5348,51.1704,-9.1864
261,L,-9.6143,40.2974,-13.0863
262,L,-37.1524,14.8753,22.5228
263,L,-49.1661,14.2073,21.7318
264,L,-43.0931,21.1594,19.1492
265,L,-40.2878,44.8064,3.2965
266,L,-45.0663,35.2249,4.7812
267,L,-43.7588,37.6248,-4.4500
268,L,-47.1740,34.0582,-8.4661
269,L,-41.7254,-30.1467,6.3608
270,L,-49.2346,-22.1521,6.5295
271,L,-36.3443,-28.0318,9.5657
272,L,-37.9020,3.1508,13.5302
273,L,-34.2096,-8.0422,11.6038
274,L,-32.3177,7.9345,12.9441
275,L,-30.4046,10.9560,8.1759
276,L,-32.9123,21.7310,12.0896
277,L,-60.3458,-30.0985,32.9993
278,L,-57.4208,-37.5178,34.9232
279,L,-61.4256,-32.8461,26.2953
280,L,-40.0858,-30.6426,21.9367
281,L,-40.8946,-36.8429,20.3383
282,L,-38.7320,-37.1481,10.4306
283,L,-49.1646,-31.8474,4.8229
284,L,-43.3427,-70.4587,22.1726
285,L,-41.5511,-70.4085,11.8129
286,L,-41.6630,-65.3685,17.7661
287,L,-53.6244,-52.9043,18.3700
288,L,-43.6423,-49.6848,12.9240
289,L,-54.1787,-45.4237,10.8395
290,L,-52.2870,-40.3034,4.6766
291,L,-63.5744,-40.5605,9.3288
292,L,-27.2114,-54.7327,47.9847
293,L,-27.4138,-61.8665,45.6182
294,L,-28.7826,-59.3941,39.9972
295,L,-39.3743,-70.1773,38.1324
296,L,-34.0301,-78.1698,39.2714
297,L,-42.2658,-74.9632,30.2608
298,L,-42.1922,-79.2166,21.2581
299,L,-16.5995,-63.8373,28.9583
300,L,-15.3236,-72.5031,16.4528
301,L,-15.2335,-76.7659,23.5667
302,L,-21.5443,-86.2119,25.8683
303,L,-10.3851,-90.5203,27.8689
304,L,-16.5787,-91.5519,17.9993
305,L,-21.7734,-97.9611,13.4875
306,L,-25.6465,-86.8545,13.1309
307,L,-15.8592,-37.0386,50.5847
308,L,-18.4933,-35.5632,40.6128
309,L,-14.7667,-44.5272,46.2060
310,L,-6.4411,-64.5236,38.9880
311,L,-9.3429,-55.1643,36.8223
312,L,-3.8191,-66.5215,30.1781
313,L,-4.9807,-65.4493,23.1942
314,L,-0.6137,19.2480,17.0180
315,L,-0.8431,4.6413,12.9097
316,L,-0.6361,5.8041,21.5860
317,L,-6.7751,-22.6260,31.2917
318,L,-3.4270,-22.4073,27.4173
319,L,-8.3528,-34.5385,27.3623
320,L,-7.0614,-43.5471,21.3000
321,L,-4.7488,-43.0560,27.3925
322,L,-19.3464,24.2207,-17.0674
323,L,-23.7879,14.0834,-21.9124
324,L,-16.5081,13.7378,-21.6517
325,L,-22.1272,-16.3407,-12.1560
326,L,-28.5222,-11.6786,-13.6033
327,L,-38.8266,-19.1976,-17.9421
328,L,-28.1259,-18.9074,-25.8305
329,L,-35.8699,-26.8489,-17.8911
330,L,-55.9866,-1.5950,-4.4258
331,L,-52.1583,-3.3300,-14.8684
332,L,-55.0942,7.2749,-11.9112
333,L,-35.0104,13.2636,-34.4220
334,L,-38.9479,13.8660,-36.3227
335,L,-30.3719,8.6905,-39.2308
336,L,-32.8737,-2.3833,-43.1275
337,L,-26.9685,1.9404,-39.7561
338,L,-51.0503,-62.1256,-1.7431
339,L,-47.4810,-65.1206,-5.3476
340,L,-53.8389,-58.6272,-7.5755
341,L,-55.3248,-27.0667,-18.9257
